,bikesInUsage,electricalBikesInUsage,mechanicalBikesInUsage,dateTime,temperature,precipitation,avg_daily_temperature,avg_bike_use,is_weekend_or_bank_holiday_False,is_weekend_or_bank_holiday_True,is_eve_of_weekend_or_bank_holiday_False,is_eve_of_weekend_or_bank_holiday_True,time_of_day_Afternoon,time_of_day_Evening,time_of_day_Morning,time_of_day_Night,rain_bool_False,rain_bool_True,y_pred
25187,97,2,95,2018-12-29 01:45:11,4.539999961853027,0.0,7.223396316564308,168.63396226415094,0,1,0,1,0,0,0,1,1,0,110.70907496309161
25188,111,1,110,2018-12-29 01:50:11,4.539999961853027,0.0,7.223396316564308,168.63396226415094,0,1,0,1,0,0,0,1,1,0,110.70907496309161
25189,107,1,106,2018-12-29 01:55:11,4.539999961853027,0.0,7.223396316564308,168.63396226415094,0,1,0,1,0,0,0,1,1,0,110.70907496309161
25190,90,1,89,2018-12-29 02:05:11,3.940000057220459,0.0,7.223396316564308,168.63396226415094,0,1,0,1,0,0,0,1,1,0,80.7943152688814
25191,83,1,82,2018-12-29 02:10:11,3.940000057220459,0.0,7.223396316564308,168.63396226415094,0,1,0,1,0,0,0,1,1,0,80.7943152688814
25192,87,1,86,2018-12-29 02:15:11,3.940000057220459,0.0,7.223396316564308,168.63396226415094,0,1,0,1,0,0,0,1,1,0,80.7943152688814
25193,85,2,83,2018-12-29 02:20:11,3.940000057220459,0.0,7.223396316564308,168.63396226415094,0,1,0,1,0,0,0,1,1,0,80.7943152688814
25194,82,2,80,2018-12-29 02:25:11,3.940000057220459,0.0,7.223396316564308,168.63396226415094,0,1,0,1,0,0,0,1,1,0,80.7943152688814
25195,90,1,89,2018-12-29 02:30:11,3.940000057220459,0.0,7.223396316564308,168.63396226415094,0,1,0,1,0,0,0,1,1,0,80.7943152688814
25196,81,1,80,2018-12-29 02:35:11,3.940000057220459,0.0,7.223396316564308,168.63396226415094,0,1,0,1,0,0,0,1,1,0,80.7943152688814
25197,87,1,86,2018-12-29 02:40:11,3.940000057220459,0.0,7.223396316564308,168.63396226415094,0,1,0,1,0,0,0,1,1,0,80.7943152688814
25198,81,1,80,2018-12-29 02:45:11,3.940000057220459,0.0,7.223396316564308,168.63396226415094,0,1,0,1,0,0,0,1,1,0,80.7943152688814
25199,66,1,65,2018-12-29 02:50:11,3.940000057220459,0.0,7.223396316564308,168.63396226415094,0,1,0,1,0,0,0,1,1,0,80.7943152688814
25200,59,1,58,2018-12-29 02:55:11,3.940000057220459,0.0,7.223396316564308,168.63396226415094,0,1,0,1,0,0,0,1,1,0,80.7943152688814
25201,73,0,73,2018-12-29 03:05:11,3.390000104904175,0.0,7.223396316564308,168.63396226415094,0,1,0,1,0,0,0,1,1,0,56.34981592508799
25202,69,0,69,2018-12-29 03:10:10,3.390000104904175,0.0,7.223396316564308,168.63396226415094,0,1,0,1,0,0,0,1,1,0,56.34981592508799
25203,53,0,53,2018-12-29 03:15:11,3.390000104904175,0.0,7.223396316564308,168.63396226415094,0,1,0,1,0,0,0,1,1,0,56.34981592508799
25204,57,0,57,2018-12-29 03:20:11,3.390000104904175,0.0,7.223396316564308,168.63396226415094,0,1,0,1,0,0,0,1,1,0,56.34981592508799
25205,62,0,62,2018-12-29 03:25:11,3.390000104904175,0.0,7.223396316564308,168.63396226415094,0,1,0,1,0,0,0,1,1,0,56.34981592508799
25206,60,0,60,2018-12-29 03:30:10,3.390000104904175,0.0,7.223396316564308,168.63396226415094,0,1,0,1,0,0,0,1,1,0,56.34981592508799
25207,56,0,56,2018-12-29 03:35:11,3.390000104904175,0.0,7.223396316564308,168.63396226415094,0,1,0,1,0,0,0,1,1,0,56.34981592508799
25208,53,0,53,2018-12-29 03:40:10,3.390000104904175,0.0,7.223396316564308,168.63396226415094,0,1,0,1,0,0,0,1,1,0,56.34981592508799
25209,57,0,57,2018-12-29 03:45:11,3.390000104904175,0.0,7.223396316564308,168.63396226415094,0,1,0,1,0,0,0,1,1,0,56.34981592508799
25210,46,0,46,2018-12-29 03:50:11,3.390000104904175,0.0,7.223396316564308,168.63396226415094,0,1,0,1,0,0,0,1,1,0,56.34981592508799
25211,39,0,39,2018-12-29 03:55:10,3.390000104904175,0.0,7.223396316564308,168.63396226415094,0,1,0,1,0,0,0,1,1,0,56.34981592508799
25212,46,0,46,2018-12-29 04:05:10,3.34000015258789,0.0,7.223396316564308,168.63396226415094,0,1,0,1,0,0,0,1,1,0,39.4034971107324
25213,53,1,52,2018-12-29 04:10:11,3.34000015258789,0.0,7.223396316564308,168.63396226415094,0,1,0,1,0,0,0,1,1,0,39.4034971107324
25214,46,1,45,2018-12-29 04:15:11,3.34000015258789,0.0,7.223396316564308,168.63396226415094,0,1,0,1,0,0,0,1,1,0,39.4034971107324
25215,41,1,40,2018-12-29 04:20:10,3.34000015258789,0.0,7.223396316564308,168.63396226415094,0,1,0,1,0,0,0,1,1,0,39.4034971107324
25216,49,0,49,2018-12-29 04:25:11,3.34000015258789,0.0,7.223396316564308,168.63396226415094,0,1,0,1,0,0,0,1,1,0,39.4034971107324
25217,38,0,38,2018-12-29 04:33:48,3.34000015258789,0.0,7.223396316564308,168.63396226415094,0,1,0,1,0,0,0,1,1,0,39.4034971107324
25218,37,0,37,2018-12-29 04:35:11,3.34000015258789,0.0,7.223396316564308,168.63396226415094,0,1,0,1,0,0,0,1,1,0,39.4034971107324
25219,33,0,33,2018-12-29 04:40:11,3.34000015258789,0.0,7.223396316564308,168.63396226415094,0,1,0,1,0,0,0,1,1,0,39.4034971107324
25220,30,0,30,2018-12-29 04:45:10,3.34000015258789,0.0,7.223396316564308,168.63396226415094,0,1,0,1,0,0,0,1,1,0,39.4034971107324
25221,29,0,29,2018-12-29 04:50:11,3.34000015258789,0.0,7.223396316564308,168.63396226415094,0,1,0,1,0,0,0,1,1,0,39.4034971107324
25222,33,0,33,2018-12-29 04:55:11,3.34000015258789,0.0,7.223396316564308,168.63396226415094,0,1,0,1,0,0,0,1,1,0,39.4034971107324
25223,44,0,44,2018-12-29 05:05:13,3.2900002002716064,0.0,7.223396316564308,168.63396226415094,0,1,0,1,0,0,0,1,1,0,39.41776488788989
25224,47,0,47,2018-12-29 05:10:12,3.2900002002716064,0.0,7.223396316564308,168.63396226415094,0,1,0,1,0,0,0,1,1,0,39.41776488788989
25225,37,0,37,2018-12-29 05:15:13,3.2900002002716064,0.0,7.223396316564308,168.63396226415094,0,1,0,1,0,0,0,1,1,0,39.41776488788989
25226,29,0,29,2018-12-29 05:20:13,3.2900002002716064,0.0,7.223396316564308,168.63396226415094,0,1,0,1,0,0,0,1,1,0,39.41776488788989
25227,30,0,30,2018-12-29 05:25:12,3.2900002002716064,0.0,7.223396316564308,168.63396226415094,0,1,0,1,0,0,0,1,1,0,39.41776488788989
25228,33,0,33,2018-12-29 05:30:13,3.2900002002716064,0.0,7.223396316564308,168.63396226415094,0,1,0,1,0,0,0,1,1,0,39.41776488788989
25229,45,0,45,2018-12-29 05:35:12,3.2900002002716064,0.0,7.223396316564308,168.63396226415094,0,1,0,1,0,0,0,1,1,0,39.41776488788989
25230,42,0,42,2018-12-29 05:40:13,3.2900002002716064,0.0,7.223396316564308,168.63396226415094,0,1,0,1,0,0,0,1,1,0,39.41776488788989
25231,48,0,48,2018-12-29 05:45:12,3.2900002002716064,0.0,7.223396316564308,168.63396226415094,0,1,0,1,0,0,0,1,1,0,39.41776488788989
25232,48,0,48,2018-12-29 05:50:12,3.2900002002716064,0.0,7.223396316564308,168.63396226415094,0,1,0,1,0,0,0,1,1,0,39.41776488788989
25233,46,0,46,2018-12-29 05:55:13,3.2900002002716064,0.0,7.223396316564308,168.63396226415094,0,1,0,1,0,0,0,1,1,0,39.41776488788989
25234,33,0,33,2018-12-29 06:05:13,3.390000104904175,0.0,7.223396316564308,168.63396226415094,0,1,0,1,0,0,1,0,1,0,55.78592556312797
25235,45,0,45,2018-12-29 06:10:12,3.390000104904175,0.0,7.223396316564308,168.63396226415094,0,1,0,1,0,0,1,0,1,0,55.78592556312797
25236,50,0,50,2018-12-29 06:15:12,3.390000104904175,0.0,7.223396316564308,168.63396226415094,0,1,0,1,0,0,1,0,1,0,55.78592556312797
25237,49,0,49,2018-12-29 06:20:13,3.390000104904175,0.0,7.223396316564308,168.63396226415094,0,1,0,1,0,0,1,0,1,0,55.78592556312797
25238,52,0,52,2018-12-29 06:25:13,3.390000104904175,0.0,7.223396316564308,168.63396226415094,0,1,0,1,0,0,1,0,1,0,55.78592556312797
25239,56,0,56,2018-12-29 06:30:12,3.390000104904175,0.0,7.223396316564308,168.63396226415094,0,1,0,1,0,0,1,0,1,0,55.78592556312797
25240,60,0,60,2018-12-29 06:35:12,3.390000104904175,0.0,7.223396316564308,168.63396226415094,0,1,0,1,0,0,1,0,1,0,55.78592556312797
25241,63,0,63,2018-12-29 06:40:12,3.390000104904175,0.0,7.223396316564308,168.63396226415094,0,1,0,1,0,0,1,0,1,0,55.78592556312797
25242,70,1,69,2018-12-29 06:45:12,3.390000104904175,0.0,7.223396316564308,168.63396226415094,0,1,0,1,0,0,1,0,1,0,55.78592556312797
25243,63,1,62,2018-12-29 06:50:13,3.390000104904175,0.0,7.223396316564308,168.63396226415094,0,1,0,1,0,0,1,0,1,0,55.78592556312797
25244,64,0,64,2018-12-29 06:55:12,3.390000104904175,0.0,7.223396316564308,168.63396226415094,0,1,0,1,0,0,1,0,1,0,55.78592556312797
25245,50,0,50,2018-12-29 07:05:13,3.59000015258789,0.0,7.223396316564308,168.63396226415094,0,1,0,1,0,0,1,0,1,0,69.76623350668937
25246,52,0,52,2018-12-29 07:10:12,3.59000015258789,0.0,7.223396316564308,168.63396226415094,0,1,0,1,0,0,1,0,1,0,69.76623350668937
25247,62,0,62,2018-12-29 07:15:12,3.59000015258789,0.0,7.223396316564308,168.63396226415094,0,1,0,1,0,0,1,0,1,0,69.76623350668937
25248,64,0,64,2018-12-29 07:20:13,3.59000015258789,0.0,7.223396316564308,168.63396226415094,0,1,0,1,0,0,1,0,1,0,69.76623350668937
25249,58,1,57,2018-12-29 07:25:13,3.59000015258789,0.0,7.223396316564308,168.63396226415094,0,1,0,1,0,0,1,0,1,0,69.76623350668937
25250,70,2,68,2018-12-29 07:30:12,3.59000015258789,0.0,7.223396316564308,168.63396226415094,0,1,0,1,0,0,1,0,1,0,69.76623350668937
25251,69,1,68,2018-12-29 07:35:13,3.59000015258789,0.0,7.223396316564308,168.63396226415094,0,1,0,1,0,0,1,0,1,0,69.76623350668937
25252,94,1,93,2018-12-29 07:40:13,3.59000015258789,0.0,7.223396316564308,168.63396226415094,0,1,0,1,0,0,1,0,1,0,69.76623350668937
25253,84,0,84,2018-12-29 07:45:12,3.59000015258789,0.0,7.223396316564308,168.63396226415094,0,1,0,1,0,0,1,0,1,0,69.76623350668937
25254,76,0,76,2018-12-29 07:50:12,3.59000015258789,0.0,7.223396316564308,168.63396226415094,0,1,0,1,0,0,1,0,1,0,69.76623350668937
25255,74,0,74,2018-12-29 07:55:13,3.59000015258789,0.0,7.223396316564308,168.63396226415094,0,1,0,1,0,0,1,0,1,0,69.76623350668937
25256,53,0,53,2018-12-29 08:05:12,4.389999866485596,0.0,7.223396316564308,168.63396226415094,0,1,0,1,0,0,1,0,1,0,86.32359820734825
25257,54,0,54,2018-12-29 08:10:13,4.389999866485596,0.0,7.223396316564308,168.63396226415094,0,1,0,1,0,0,1,0,1,0,86.32359820734825
25258,59,0,59,2018-12-29 08:15:12,4.389999866485596,0.0,7.223396316564308,168.63396226415094,0,1,0,1,0,0,1,0,1,0,86.32359820734825
25259,71,0,71,2018-12-29 08:20:12,4.389999866485596,0.0,7.223396316564308,168.63396226415094,0,1,0,1,0,0,1,0,1,0,86.32359820734825
25260,75,0,75,2018-12-29 08:25:12,4.389999866485596,0.0,7.223396316564308,168.63396226415094,0,1,0,1,0,0,1,0,1,0,86.32359820734825
25261,72,0,72,2018-12-29 08:30:12,4.389999866485596,0.0,7.223396316564308,168.63396226415094,0,1,0,1,0,0,1,0,1,0,86.32359820734825
25262,91,0,91,2018-12-29 08:35:13,4.389999866485596,0.0,7.223396316564308,168.63396226415094,0,1,0,1,0,0,1,0,1,0,86.32359820734825
25263,96,0,96,2018-12-29 08:40:12,4.389999866485596,0.0,7.223396316564308,168.63396226415094,0,1,0,1,0,0,1,0,1,0,86.32359820734825
25264,108,0,108,2018-12-29 08:45:12,4.389999866485596,0.0,7.223396316564308,168.63396226415094,0,1,0,1,0,0,1,0,1,0,86.32359820734825
25265,119,0,119,2018-12-29 08:50:12,4.389999866485596,0.0,7.223396316564308,168.63396226415094,0,1,0,1,0,0,1,0,1,0,86.32359820734825
25266,97,0,97,2018-12-29 08:55:12,4.389999866485596,0.0,7.223396316564308,168.63396226415094,0,1,0,1,0,0,1,0,1,0,86.32359820734825
25267,98,0,98,2018-12-29 09:05:12,6.639999866485596,0.0,7.223396316564308,168.63396226415094,0,1,0,1,0,0,1,0,1,0,123.97396217589602
25268,93,0,93,2018-12-29 09:10:13,6.639999866485596,0.0,7.223396316564308,168.63396226415094,0,1,0,1,0,0,1,0,1,0,123.97396217589602
25269,112,0,112,2018-12-29 09:15:12,6.639999866485596,0.0,7.223396316564308,168.63396226415094,0,1,0,1,0,0,1,0,1,0,123.97396217589602
25270,115,0,115,2018-12-29 09:20:12,6.639999866485596,0.0,7.223396316564308,168.63396226415094,0,1,0,1,0,0,1,0,1,0,123.97396217589602
25271,112,0,112,2018-12-29 09:25:12,6.639999866485596,0.0,7.223396316564308,168.63396226415094,0,1,0,1,0,0,1,0,1,0,123.97396217589602
25272,106,0,106,2018-12-29 09:30:12,6.639999866485596,0.0,7.223396316564308,168.63396226415094,0,1,0,1,0,0,1,0,1,0,123.97396217589602
25273,129,0,129,2018-12-29 09:35:13,6.639999866485596,0.0,7.223396316564308,168.63396226415094,0,1,0,1,0,0,1,0,1,0,123.97396217589602
25274,164,0,164,2018-12-29 09:40:12,6.639999866485596,0.0,7.223396316564308,168.63396226415094,0,1,0,1,0,0,1,0,1,0,123.97396217589602
25275,173,0,173,2018-12-29 09:45:12,6.639999866485596,0.0,7.223396316564308,168.63396226415094,0,1,0,1,0,0,1,0,1,0,123.97396217589602
25276,179,1,178,2018-12-29 09:50:13,6.639999866485596,0.0,7.223396316564308,168.63396226415094,0,1,0,1,0,0,1,0,1,0,123.97396217589602
25277,139,1,138,2018-12-29 09:55:12,6.639999866485596,0.0,7.223396316564308,168.63396226415094,0,1,0,1,0,0,1,0,1,0,123.97396217589602
25278,131,0,131,2018-12-29 10:05:12,8.690000534057617,0.0,7.223396316564308,168.63396226415094,0,1,0,1,0,0,1,0,1,0,143.40947244737453
